"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
32.2442888,-111.009434,"040190044141008","04019","04","AZ","OK"
38.6694971,-121.2168004,"060670082063011","06067","06","CA","OK"
37.6782488,-121.0313656,"060990008033004","06099","06","CA","OK"
37.9976709,-121.289016,"060770034072009","06077","06","CA","OK"
25.749308,-80.2896559,"120860059041011","12086","12","FL","OK"
36.9968767,-91.5054077,"292034702002010","29203","29","MO","OK"
43.0164161,-70.8375047,"330151075002041","33015","33","NH","OK"
40.7979325,-73.9339971,"360610178001000","36061","36","NY","OK"
40.6362807,-73.8859878,"360471020001004","36047","36","NY","OK"
39.9758979,-75.1697474,"421010139002019","42101","42","PA","OK"
36.8207499,-119.7047837,"060190056022011","06019","06","CA","OK"
37.6478165,-97.3618072,"201730052004000","20173","20","KS","OK"
39.0624551,-76.6908854,"240037408003000","24003","24","MD","OK"
40.792384,-115.8184987,"320079512021184","32007","32","NV","OK"
32.7570329,-96.6419426,"481130176052011","48113","48","TX","OK"
29.7795785,-95.2354741,"482012326002004","48201","48","TX","OK"
36.0092176,-90.5469683,"050554806003095","05055","05","AR","OK"
29.8619901,-81.3897159,"121090210032001","12109","12","FL","OK"
42.6534974,-112.1946177,"160050019001174","16005","16","ID","OK"
41.6371043,-87.6075401,"170318265001014","17031","17","IL","OK"
34.4573521,-81.8800977,"450599208003001","45059","45","SC","OK"
33.4696999,-86.9753348,"010730123051037","01073","01","AL","OK"
33.4696999,-86.9753348,"010730123051037","01073","01","AL","OK"
37.5537854,-120.9066891,"060990030023024","06099","06","CA","OK"
37.4969255,-120.8717276,"060990038042001","06099","06","CA","OK"
34.052606,-84.076815,"131350502102010","13135","13","GA","OK"
31.5277264,-92.9455553,"220690009002180","22069","22","LA","OK"
39.3090939,-76.6657668,"245101506003000","24510","24","MD","OK"
45.5255294,-122.6753701,"410510051002029","41051","41","OR","OK"
34.971557,-85.100472,"130470302023000","13047","13","GA","OK"
42.9171826,-72.2575126,"330059711001037","33005","33","NH","OK"
30.1562711,-95.4509547,"483396916011002","48339","48","TX","OK"
29.7202086,-95.3225411,"482013107001033","48201","48","TX","OK"
34.8522911,-92.0959725,"051190036063000","05119","05","AR","OK"
34.1182012,-84.7664413,"130159608033028","13015","13","GA","OK"
43.0384937,-83.732244,"260490009001006","26049","26","MI","OK"
33.1651199,-97.0294532,"481210214041002","48121","48","TX","OK"
37.0206918,-76.3743336,"516500105011074","51650","51","VA","OK"
38.6016961,-121.4190603,"060670055023010","06067","06","CA","OK"
29.894186,-90.113827,"220510268002011","22051","22","LA","OK"
29.894186,-90.113827,"220510268002011","22051","22","LA","OK"
35.4831875,-94.226339,"050330206004031","05033","05","AR","OK"
41.5388351,-72.8074783,"090091702003002","09009","09","CT","OK"
41.543137,-72.802992,"090091702001012","09009","09","CT","OK"
33.840452,-83.885561,"132971105041021","13297","13","GA","OK"
40.513924,-88.9533604,"171130005042023","17113","17","IL","OK"
41.6142785,-87.559035,"170318262011003","17031","17","IL","OK"
39.4754936,-74.9778162,"340110407002001","34011","34","NJ","OK"
36.2023877,-115.2236851,"320030034194000","32003","32","NV","OK"
35.5249705,-97.6112201,"401091067063008","40109","40","OK","OK"
39.2046283,-121.0660719,"060570005023034","06057","06","CA","OK"
39.6622198,-104.8641327,"080050804001006","08005","08","CO","OK"
30.1605337,-85.6251134,"120050017001013","12005","12","FL","OK"
33.8796179,-90.7237139,"280119503002022","28011","28","MS","OK"
40.039848,-75.123259,"421010274024011","42101","42","PA","OK"
38.2745423,-122.0246922,"060952523162004","06095","06","CA","OK"
33.2589376,-84.2673332,"132551604004001","13255","13","GA","OK"
34.6534803,-88.5653839,"281179503004000","28117","28","MS","OK"
40.0946498,-75.1373268,"420912021003005","42091","42","PA","OK"
31.8672683,-102.368709,"481350015001008","48135","48","TX","OK"
33.6561376,-112.0641621,"040136168003022","04013","04","AZ","OK"
42.8482854,-112.4282438,"160050008001141","16005","16","ID","OK"
34.2023243,-87.1814012,"011339655012047","01133","01","AL","OK"
33.2224358,-117.0368088,"060730191033051","06073","06","CA","OK"
45.552094,-122.6157933,"410510030003004","41051","41","OR","OK"
33.9183528,-84.0211539,"131350505443007","13135","13","GA","OK"
